Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
Emanuel Alejandro Andrade Colmenares,M,19,189,76,Venezuela,Equestrianism,0
Emanuel Buchmann,M,23,181,61,Germany,Cycling,0
Emanuele Birarelli,M,35,202,95,Italy,Volleyball,1
Emel Dereli,F,20,181,110,Turkey,Athletics,0
Emerson Duarte,M,44,182,80,Brazil,Shooting,0
Emilee Cherry,F,23,168,70,Australia,Rugby Sevens,1
Emilia Ankiewicz,F,25,178,64,Poland,Athletics,0
Emilia Elisabeth Appelqvist,F,26,168,65,Sweden,Football,1
Emilie Hegh Arntzen,F,22,183,78,Norway,Handball,1
Emily Batty,F,28,161,48,Canada,Cycling,0
Emily Jane Diamond,F,25,173,58,Great Britain,Athletics,1
Emma Dyke,F,21,181,68,New Zealand,Rowing,0
Emma Jane Coburn,F,25,173,54,United States,Athletics,1
Emma Sofia Berglund,F,27,171,64,Sweden,Football,1
Emma Stina Blackstenius,F,20,173,69,Sweden,Football,1
Emmanuel Earl Callender,M,32,189,86,Trinidad and Tobago,Athletics,0
Emmanuel Kwame Dasor,M,20,,,Ghana,Athletics,0
Emmanuel Shinkut Daniel,M,22,174,88,Nigeria,Football,1
Emre Zafer (Winston-) Barnes,M,27,178,73,Turkey,Athletics,0
Enrico D'Aniello,M,20,152,53,Italy,Rowing,0
Enrique Brol Cardenas,M,37,181,73,Guatemala,Shooting,0
Enrique Jos Arathoon Pacas,M,24,180,78,El Salvador,Sailing,0
Eoin Coughlan,M,24,186,81,Australia,Judo,0
Erdenebatyn Bekhbayar,M,23,161,62,Mongolia,Wrestling,0
Erdenebatyn Tsendbaatar,M,19,163,56,Mongolia,Boxing,0
Erdenechimegiin Sumiya,F,26,159,53,Mongolia,Wrestling,0
Eref Apak,M,34,184,120,Turkey,Athletics,0
Eric Delaunay,M,28,178,83,France,Shooting,0
Eric Javier Alejandro,M,30,180,81,Puerto Rico,Athletics,0
Eric Shauwn Brazas Cray,M,27,176,70,Philippines,Athletics,0
Erick Bernab Barrondo Garca,M,25,178,60,Guatemala,Athletics,0
Erik Mattias Andersson,M,38,186,95,Sweden,Handball,0
Erika Araki,F,32,186,78,Japan,Volleyball,0
Erin Densham,F,31,165,52,Australia,Triathlon,0
Erkin Adylbek uulu,M,25,190,80,Kyrgyzstan,Boxing,0
